제목 형태소,본문 형태소
"['것좀', '우리', '댕댕', '자랑']","['상치', '울', '댕댕', '감사', '사진', '아기', '때', '사진', '몇', '장', '더', '이름', '밀크', '나이', '살', '특기', '사고', '치기', '사고', '침']"
"['것좀', '우리', '댕댕', '보고', '가세']",[]
"['자랑', '댕댕', '이의', '입', '마개']","['댕', '첨', '조금', '산책', '때', '물', '매너', '댕', '칭찬', '출처', '검색', '및', '사진', '속', '참조']"
"['강아지', '생명체', '우리', '댕댕', '구경']","['우리', '강아지', '자랑', '좀', '해도', '될런지요눈', '안', '가슴', '선물', '아이', '요한', '번', '말씀', '카시트', '타고', '자기', '전', '방', '컴터', '거실', '요러', '오늘', '오디', '개', '여름', '산책', '가기', '전', '캡', '필수', '화', '털', '개', '한강', '중', '베이비', '컷', '곰돌이', '컷', '스포팅', '강아지', '말티즈', '댕댕', '새끼', '생명체']"
"['우리', '집', '댕댕', '고구마']",[]
"['댓글', '부탁', '해', '나', '진짜', '우리', '집', '댕댕', '어케', '살']","['지금', '잠깐', '미용', '것', '것', '분리', '불안', '강아지', '나', '벼']"
"['댓글', '부탁', '우리', '집', '주인', '댕댕']","['먼저', '앞서', '우리', '집', '주인', '인기', '폭발', '메인', '여러분', '화', '주인', '더', '보', '주인', '츄르', '오메가', '간식', '습', '마음', '우리', '주인', '사진', '일단', '조금', '더', '가끔', '사진', '거', '막', '휴대폰', '냥', '펀치', '기도', '주인', '또', '땐', '집사', '또', '우리', '주인', '끝', '이번', '소개', '가족', '제', '여동생', '댕댕', '아이', '사연', '좀', '부모님', '공기', '곳', '귀농', '년', '것', '년', '전인', '본가', '댕댕', '어머니', '절대', '애완동물', '절대', '반대', '무지개다리', '때', '댕댕', '그', '후', '정', '분', '심지어', '유기견', '데리', '병원', '데리', '모습', '보고', '쫌', '어머니', '기도', '인연', '게', '또', '다음주', '어머니', '집', '전', '댕댕', '간식', '옷', '보고', '개', '보고', '추천', '종종', '애기', '사진가', '지고', '또']"
"['것좀', '우리', '댕댕', '자랑']",[]
"['우리', '댕댕', '진구']","['킹', '도그', '사진', '소노펫', '있듬', '사진', '요청', '추가', '추', '추가', '사진', '규', '가을', '산책']"
"['댓글', '부탁', '해', '여기', '거', '댕댕']",[]
"['강아지', '요즘', '핫', '댕댕', '퍼레이드']","['지금', '인스타', '진행', '댕댕', '퍼레이드', '보호', '소', '아가', '대신', '산책', '참여', '만큼', '유기견', '보호', '소', '사료', '간식', '기부', '애기', '히스토리', '맴', '간식', '거', '기부', '산책', '룩', '수', '짱귀', '코로나', '때문', '봉사', '자주', '못', '랜선', '마', '수', '듯', '이정', '안', '한번', '관심', '인스타그램', '발광', '검색', '참여', '수']"
"['댕댕', '목욕', '후', '팁']","['알', '드라이기', '건데', '반려', '댕댕', '처음', '데리', '집', '첫', '목욕', '가장', '첫', '목욕', '드라이기', '소리', '겁', '거부', '감', '잔뜩', '때문', '댕댕', '사람', '청력', '배', '사실', '아마', '드라이기', '소리', '거의', '폭발', '소리', '피부', '털', '댕댕', '장', '용품', '강아지', '이', '정말', '사람', '수건', '재질', '수건', '이기', '때문', '강아지', '자극', '댕댕', '거부', '감', '수도', '때문', '저', '제', '초', '극세사', '국산', '무자', '타', '추천', '사람', '수건', '장만', '분', '아마', '신세계', '초', '극세사', '말', '정도', '물기', '흡수', '시간', '양', '정말', '목욕', '때', '고생', '이신', '정말', '산책', '발', '때', '매번', '한장', '오래오래', '사용', '것', '추천', '빨래', '때', '내', '우리', '집', '댕댕', '구분', '때', '방수', '패키지', '안성맞춤']"
"['류진', '흑발', '댕댕', '느낌']",[]
"['댕댕', '월동', '준비']",[]
"['우리', '집', '댕댕']",[]
['댕댕'],['누나']
"['강아지', '댓글', '우리', '집', '댕댕', '사랑']","['우리', '집', '레드', '허숙히', '김건', '군', '댕', '청미', '발산', '때', '더', '자랑', '데', '매일', '눈', '보기', '판', '순간', '순간', '사진', '몇장', '식빵', '적', '개', '비', '옷', '맘', '말', '때', '주시', '내', '뒷다리', '개', '이개', '바로', '안성맞춤', '개', '별', '온', '개', '댕', '청미', '발산', '내', '발도', '때', '개', '아기', '때', '귀욤', '사진', '다가', '나', '지금', '이', '개', '셀카', '나', '개', '오늘', '톡', '선정', '상상', '여러분', '덕', '우리', '집', '건', '메인', '를', '아예', '한번', '인터넷', '사진', '본적', '우리', '건', '생각', '사진', '널리', '널리', '퍼다', '악성', '댓글', '무시', '보기', '그냥', '신분', '다시', '한번', '더', '감사', '모두', '톡', '선정', '기념', '다가', '컷', '더']"
"['댕댕', '나', '똥쌀때', '화장실']","['거', '나', '겨']"
['댕댕'],"['여우', '넌', '망치']"
"['나', '달뒤', '댕댕']","['비숑', '이름', '뽀송', '이임', '김녕김씨', '충의', '파', '김뽀송', '년', '동안', '존버', '성공']"
"['것좀', '인색', '댕댕', '자랑']","['내', '강아지', '목줄', '털', '하네스', '자갈밭', '사진', '애견', '펜션', '댓글', '분', '들보', '눈', '제대로', '목줄', '거', '댓글', '두번째', '사진', '날', '한장', '더', '진짜', '사람', '말', '마지막', '추가', '바닷가', '사진', '강아지', '털', '오른쪽', '파란색']"
"['댓글', '부탁', '해', '댕댕']","['내', '웰시', '비글']"
"['남자', '아이돌', '댕댕', '대장']","['몬스타', '엑스', '민혁', '엑소', '백현', '시티', '김정우', '내', '개취']"
"['댓글', '부탁', '해', '여기', '댕댕']","['저기', '댕댕', '머리', '보이지', '난', '똥손', '이라부', '모']"
"['댕댕', '시간']","['새', '털', '표정', '상이', '댕', '본적', '견', '주님', '보통', '얼마나', '출처', '사진', '검색', '및', '사진', '속', '참조']"
"['순간', '댕댕']","['아구', '출처', '사진', '검색', '및', '사진', '속', '참조']"
"['케미', '키노', '댕댕']","['키노', '픽', '요즘', '사진']"
"['드루', '펜타곤', '키노', '진짜', '댕댕', '봄']","['강아지', '거', '스윗', '내', '저', '개']"
"['강아지', '애', '너', '댕댕']","['코', '재채기', '듯이', '킁', '킁', '얜']"
"['드루', '아빠', '댕댕', '심']",[]
"['드루', '무이네', '집', '댕댕']","['여자', '얼굴', '통', '수만']"
"['댕댕', '발도', '진열', '거']","['우리', '돼룡']"
"['댓글', '부탁', '해', '우리', '집', '댕댕', '애기', '티', '나']","['제곧내', '애기', '애기', '해']"
['댕댕'],"['학', '진짜', '뭐', '저런', '아픔', '집사', '다행', '증말', '출처', '사진', '검색']"
"['병지', '컷', '더', '댕댕', '창섭']","['병지', '컷', '진짜', '찰떡', '궄', '요즘', '또', '창', '나']"
"['자꾸', '자기', '냥', '이인', '줄', '댕댕']","['살', '임', '캣타워', '박스', '사랑', '창가', '고고', '기겁', '마지막', '사진', '반전', '출처', '사진', '검색']"
"['댕댕', '초인종', '소리', '문구', '스티커', '신청', '준', '광고']","['친구', '요즘', '인스타', '이', '핫', '신청', '인스타', '꼬', '사인', '검색', '짱', '무료', '신청', '신청', '며칠', '전', '진짜', '초인종', '바로', '옆', '신청', '때', '디자인', '문구', '개', '그', '중', '그림', '문구', '우리', '강아지', '강아지', '주제', '쫄보', '집', '돌이', '요', '신청', '요즘', '택배', '배달', '기분', '탓', '거', '붙이', '진짜', '벨', '기사', '분도', '안', '계심', '신청', '때', '도착']"
"['로드', '뷰', '댕댕']",[]
"['아프리카', '부족', '댕댕']",[]
"['냥', '아치', '상대', '댕댕']","['자신', '침대', '댕', '냥', '아치', '이기', '출처', '사진', '검색', '및', '사진', '속', '참조']"
"['댓글', '부탁', '해', '어제', '레전드', '댕댕']","['길가', '강아지', '땅', '주인', '그', '쭈구리', '자세', '강아지', '달라', '무릎', '위', '발', '꼬리', '딸', '랑딸랑', '눈망울', '완전', '똘', '망초', '롱', '진짜', '올해', '제일', '이', '맛', '강아지', '애교', '진짜', '댕댕', '매력', '대박', '임', '기여', '워']"
"['댓글', '부탁', '해', '우리', '집', '댕댕']",['코']
"['댕댕', '마냥', '이유']","['광대', '미소', '어흑', '출처', '사진', '검색']"
"['단체', '사진', '진심', '댕댕', '모임']","['어머나', '지금', '이', '떼샷', '임', '번', '솜씨', '세상', '댕댕', '케어', '트레이닝', '곳', '댕댕', '산책', '소풍', '단체사진', '개념', '봄', '증말', '신기', '출처', '사진', '검색']"
"['댓글', '부탁', '해', '댕댕', '유튜브', '추천', '종']","['재롱', '영상', '댕댕', '또', '알']"
"['댓글', '부탁', '해', '우리', '집', '댕댕', '왤케', '꼬질']","['진짜', '꼬순꼬']"
"['강아지', '육아', '댕댕']","['자체', '모자이크']"
"['드루', '빈', '인별', '땀', '사진', '댕댕']","['얼굴', '못', '몸', '이번', '활동', '빈']"
"['울', '댕댕', '무슨', '종이']","['뒷모습', '보고', '맞춰봥']"
"['천장', '댕댕']","['출처', '사진', '검색', '및', '사진', '속', '참조']"
"['너희', '집', '댕댕', '뽀뽀', '때', '식', '해']","['나', '얘', '배', '자기', '앞발', '내', '볼', '잡고', '뽀뽀']"
"['댓글', '부탁', '해', '저녁', '댕댕', '산책', '거']","['인생', '가장', '행복']"
['댕댕'],"['사람', '신발']"
"['드루', '울', '댕댕']","['월', '우리', '댕댕', '우리', '집', '주년', '혹시', '카카오', '톡', '쇼핑', '톡딜하', '견주', '장모', '견', '봄', '털뿜', '난리', '바리', '깡', '빗', '사자', '가격', '차이', '참고', '울', '댕댕', '원래', '시골', '강쥐', '로드킬', '치료', '금은', '애교', '댕댕', '적', '사진', '로부터', '약', '년뒤', '날씬', '버젼', '위', '살이', '좀', '찜', '울', '댕댕', '보더', '살이', '야기', '욥', '상처']"
"['감자', '뼈', '하수', '구', '댕댕']",[]
"['댕댕', '머', '머리', '애', '한텐', '안', '웅앵웅', '오조오억']",[]
"['댕댕', '진우']","['찐건나블리', '진우', '댕댕', '호기심', '대왕', '나은', '건후', '마이크로', '스프레이', '발견', '보더', '걸', '아빠', '물', '웃음', '최대한', '안', '건후', '최대한', '진우', '형제', '성향', '혀', '낼름', '거리', '기파', '추호', '뭘', '메롱', '면서', '존귀', '글', '폼', '형', '건후', '존똑', '다가', '형', '조그만', '혀', '마스크', '낼름', '안나', '유튜브', '진우', '산책', '다가', '그냥', '갑자기', '게', '표정', '행복', '보', '나', '기분', '기도', '함', '형', '건후', '누나', '나은', '댄스', '학원', '댕댕', '재질', '웤']"
