제목,본문
다른 여자랑 계속 출퇴근 같이하겠다는 남편,댓글다읽어봤어요너무많은관심과조언해주셔서감사해요좀부담스럽기도하네요추가글은지웠습니다오늘제가남편이일하는곳에서할일이있어서남편퇴근할때맞춰서갔는데남편이다른여자를차에태우는걸봤습니다정말깜짝놀라고무서워서집에가서물으니남편병원간호사인데집근처원룸살아서출근이랑퇴근같이했어니가생각하는거아니야일잘하고착한데형편이좀어려운것같아서나얼마나됬는데남편개월나나한테말이라도해주던가남편말못한건미안해근데내가퇴근늦은적이있니퇴근하고누구랑통화하길하니주말에나가기를하니난그냥집에서야구만보잖아니가생각하는게말이안되잖아솔직히걔랑친해지긴했고둘만같이점심먹으러간적도있어병원에서유일하게편한사람이라그래근데니가생각하는건전혀아니야카톡다보여줄께오해하지마이런대화를했고그래서카톡봤더니그여자는개월전에들어온것같고다일관련카톡이대부분이긴하더라구요근데거슬리는부분도있었어요그여자가소개팅해주라고했는데제남편같은사람을소개해달라고한장면또둘이점심같이먹기전에카톡에서남편이계속뭐먹을래라고물어본부분남편은이게뭐가문제냐고해요전당장바람은아니더라도이런게쌓여바람필것같아두렵다고했더니니가너무예민하대요남편이집안일이나육아를잘하는편이고집밖도잘안나가고집에들어오면폰도잘보지않아서저도바람은아닌것같긴해여근데무섭잖아요언제사람이바뀔지그리고그여자좀이뻤어요남편살그여자살둘이같이시간보내면밖에선연인인줄알텐데둘은같이밥먹고차타고출퇴근했네요저만바보된느낌이에요그래서너당장그만두라고그여자한테전화할거라했더니갑자기화를내면서넌죄없는사람을팩트없이몰아가냐고하더라구요논리는남편말이맞죠근데너무불안하잖아요여기까지가어제저녁에쓴글이고오늘남편한테아침먹으면서물어봤더니계속출퇴근은같이하겠대요사회초년생들한테많은도움을줘야한다나뭐라나곧남편퇴근할텐데둘이같이차타고보내는시간생각하니너무무섭고어지러워요남편이원래연애때부터헌혈많이하고남잘돕고사는성격이어서이해가안되는건아닌데하필남편보다살나보단살어린여자라는게좀내가다른남자랑그때도가만히있겠냐고했더니그사람을돕는목적이면상관없고오히려칭찬해주겠데요자기는의심스러운행동한적없다고모르겠어요이게정상적으로느껴지질않는데참어제까지사이도좋고참똑똑하다고생각했던남편이너무당당하게나오니까내가비정상인가라고느껴지기도하고요제가어떻게반응해야할지모르겠어요화를내야할지제발그만하라고사정사정해야할지아니면그냥남편을믿어야할지이문제를어떻게해결해야할지모르겠어요
'영남대 강간을 덮으려 한다' 센터입장과 사실확인,결시친에올라온영남대가강간을덮으려한다는글____공식센터입장문말을교수라고했다가교수라고했다가강간을했다고했다가아니라고했다가자꾸거짓말로번복을함양성평등센터에서적법한절차에따라사실확인과조사를진행하고자동의를구하는데자꾸교묘하게동의는하지않고말을돌리며결국동의를하지않았고하지않는다는취지의문자를보내고강간했다는명백한증거가있다고고소를했는데그명백한증거를왜내놓지못함그리고강간했다는대상이한명이었는데왜자꾸이사람이었다가저사람이었다가왔다갔다함고소할때부총장직의권력을이용해서강간하고묻으려고까지한다고했는데부터부총장직을수행하셨기때문에년에는그냥교수였고권력이런게없었고은폐할수도없었음센터설립이전의일임즉거짓말명백한허위사실로밝혀졌다그리고경찰에협조도하지않고연락도되지않는다고하는데거짓말을해놓고영남대학교부총장님을교수님한분을한사람을한남자를한가정의가장을파탄내고위험하게까지만든정신나간허위사실유포자거짓말과미투로피해를주고명예훼손까지시킨페미교수인김경교수억울하게명예가훼손되신영남대학교부총장님및교수님을응원하며힘이되어드린다고들었습니다여러법무법인들도지지하겠다고강력하고엄중한무고죄처벌한사람의인생을망치고한남자의인생을망치고한가정을파탄낼수있게만들도록거짓말한김경교수에게엄중한무고죄가내려지길바랍니다전국민이모두보고있습니다반대만누르고거짓말만할줄알고비난만욕만할줄아는게페미인가요당당하게이야기하더니또거짓말이네
눈수술로 사망사고낸 가해자 여자였으면,김여사김여사이러면서운전하는여자욕하고더이슈되었겠죠참
한국이 별일 다 터져도 안망하는이유,__
이렇게 당당한 태도. 내일 고소합니다.,방탈죄송합니다당근마켓중고나라기프티콘거래정말많이해왔지만이런경우가처음이라이렇게조언을구하고자글을씁니다화장품구입기프티콘을당근으로거래했습니다중고나라당근마켓등판매나구입목적으로여태문제없이이용했기때문에따로다른카톡이라던지요구하는사항이없어서그대로거래했습니다이브랜드특성상어플로바로등록해서기프티콘이사용할수있는기프티콘인지확인이가능한브랜드입니다아무리거래를여태잘해왔어도불안한마음에구매직후등록해봤고이미등록된카드라는알람이떳습니다화가났지만판매자가실수했을거라고이때까지는믿었기때문에위사진처럼질문했더니돌아오는답변은꿀맛감사합니당등의너무당당한태도를보였습니다내일경찰서로가서고소장을접수할계획이고선처는없으며시간이오래걸리더라도끝을보겠다소액이라고너무나도당당한모습을참을수없다고제가답장하자사기꾼은예예님대로하시구요촉법인데요아어쩐다고부모님없어등의답변이돌아왔습니다진짜촉법인지도확인하기위해서내일출근해서점심쯤고소장접수하러갑니다제발촉법이아니기를바라고촉법이더라도최선을다해서할수있는처벌을내릴수있도록몇달이걸려도수고할계획입니다네이트판을보시는여러분들은꼭중고거래직거래등조심하시고저와같은피해를입지않으시기를바랍니다
한강 의대생 동기 폭탄 발언 “니가 죽인거야”,다들봐줘
보태준거 없이 바라는 시댁 어떻게 방어하죠,안녕하세요살연하와결혼한연상녀입니다연상이죄인가요남편도연봉이적은편아니지만저도기술직이기에여자치고적은편아닙니다장거리하다결혼하고남편직장쪽으로왔는데요어차피애기낳고육아하려면년은직장힘들것같아서요요새저도살림하랴자기개발하랴열심히노력중입니다몇년후라도돈필요하면복귀해야하고그러려면그저놀면안되니까요그런데제겐시댁이문제입니다보태주신건도없고요바라지도않고요간섭도싫고내가능력없는것도아니고우리끼리간소하게반반결혼했습니다그런데시모는남편총각때처럼월용돈꼬박꼬박달라하시고요어버이날낀이달엔짜리가전모델명부르며사달라하시는데자꾸친정이생각나요도니들아껴써라하고돌려주시는어떻게헤쳐나가면좋을까요조언부탁드립니다
아이를 과하게 띄워 주며 애지중지 하던 부모,다음역은치과내리실문은없습니다__
술만마시면 우리집에오는시어머니,시어머니가술만드시면저희집에옵니다어제도술잔뜩드시고저희집에와서지금주무시고있는데너무짜증나요시어머니는혼자사세요아버님은년전에돌아가셨고요근데그이후부터술만드시면저희집에와서는주무시고갑니다남편은엄마가많이외롭지않겠냐며불쌍하신분이니까자식인내가재워줄수있지않냐며뭐라고하는제가매정하대요오는것도술실컷드시다밤시시그쯤되서옵니다그리고는저희출근할때까지안일어나세요그럼제가해장국끓여놓고출근하면낮에쯤일어나셔서그제서야밥먹고집에가시나봐요어머니한테오지말라고직접적으로말하고싶은데그럼남편이절나쁜으로생각할테고시어머니를어쩌면좋죠속터지네요
신당동에서 구찌 신발 맡겼다가 훼손이 되었습니다. 2,본문결시친과상관없는글죄송하지만조언이필요해서다시작성합니다이후에사장님과계속연락했는데카톡은계속답장없다가딱한마디하시길래전화걸었고저한테녹취해둠자존심이상할까봐얘기안했는데그신발짝퉁이다백화점에도짝퉁이판친다보증서도조작이된다다시고쳐줄테니가져오라는말만계속반복하셨고오늘하남스파필드명품세탁소에서훼손이너무심해서세탁이불가능할것같다는연락받았습니다사과한마디안하시고저렇게적반하장태도로계속나오셔서저도용서해드릴마음도없지만다른방법이있는지조언좀부탁드려요첫번째올렸었던글올해월구찌매장가서운동화구입했습니다신던중에옆구리가살짝찢어져서그냥신을까고민하다가저한테는첫명품신발이어서고치고싶은마음에여기저기명품화수선하는곳알아보고있었습니다생각보다많이없어서고민하던중신당동에명품화수선하는곳을찾게되었고사장님과직접통화후에명품화수선가능하다는답변듣고일요일직접찾아갔습니다찢어진건수선이워낙어렵지만최대한티안나게고쳐주겠다하셨고잘부탁드린다는인사화현금결제후돌아왔고화요일에다되었으니어린이날찾으러오라는연락받고다음날바로달려갔습니다들어가자마자약품냄새가진동하길래조금쎄했지만감사하다는인사와신발을받아드는순간경악했습니다차라리안고치는게나을뻔했다는생각과가죽이유광이되어있었고가죽안에뭘넣으셨는지딱딱하게뭔가만져지고찢어진부분은뭘덧붙이신건지엉망이되어있더라구요세탁도필요없이깨끗히신었는데그주변도어떻게하신건지잔뜩오염되어있었습니다너무화나서신발을이렇게만들어놓으시면어쩌냐수선이어려우실것같으시면연락을주셨어야지이거어떻게하냐고물었더니저보고되려찢어진거고쳐놨더니왜그러냐면서화를내시더라구요제눈에는고쳐놓은게아니라망쳐놓으신것같았습니다같이간남편도경악했고이런일이처음이라일단어찌할도리를몰라일단나왔습니다저도아예티가안나진않을거란생각으로갔는데명품화로서의상품성이아예없어진것같아너무속상한데이럴때는어떻게할방법이없는지조언얻고싶습니다휴실물이사진보다더심합니다추가글찢어진정도는약정도로일자로살짝찢어져서자세히보지않는이상은티가많이안났습니다그리고그부분만수선을하신게아니고가죽전체를왜다덮으셨는지는저도의문이예요
