,id,content,likes
0,"

              깡스타일리스트
            
","

평소에 팬이였던 감스트님과, 릴카님과 함께 촬영하게 되었습니다 ! 두분다 정말 친절하셔서 촬영내내 즐거웠습니다 ㅎㅎ 개인적으로 아쉬웠던건 사이즈가 준비한거와 차이가 조금 있어서 다음에 기회가 된다면 더욱 다양한 스타일과 이쁜핏으로 다시 촬영해보고 싶습니다!! 재밌게봐주세용 감사합니다
","
    450
  "
1,"

              오범석
            
","

옷이 진짜 날개네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 사람이 달라 보이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
","
    348
  "
2,"

              buy home
            
","

와 인...직 저기에도 또록스 신고갔네 진짜 대단하다 크록스 사랑
","
    187
  "
3,"

              갤럭시문자
            
","

와 근데 스타일리스트가 유무가 확실히 차이가 크구나 확 달라지네
","
    320
  "
4,"

              정혁
            
","

깡님 거쳐가니까 사람이 달라지네요 ㄷㄷ
","
    83
  "
5,"

              팍아임
            
","

썸네일;; 내 눈을 의심했다..
","
    210
  "
6,"

              권동현
            
","

5:50 와 미쳤네 확실히 스타일이 주요하긴하네
","
    75
  "
7,"

              jun kang
            
","

남침룩을 남친룩으로 바꿔버렸네 역시 깡!!
","
    208
  "
8,"

              한승주
            
","

아니 얼굴 가리면 옷이쁘네 신기해라 ㅋㅋㅋㅋㅋㅋㅋ
","
    108
  "
9,"

              박몽키
            
","

송지오 코트 존예다
","
    3
  "
10,"

              기동훈
            
","

와 의외로 다 찰떡이네.. ㄷ ㄷ ㅋㅋㅋㅋ
","
    14
  "
11,"

              유니콘
            
","

릴카 너무 예쁘다 ㄹㅇ..
","
    18
  "
12,"

              k s
            
","

뜬금포 조합이네 ㅋㅋㅋㅋㅋ
","
    20
  "
13,"

              임성민
            
","

한문철씨 패션 센스가 좋네요
","
    3
  "
14,"

              콱철용
            
","

뭐야 스트가 여기서 왜 나와 ㅋㅋㅋㅋ
","
    4
  "
15,"

              WAKANDA LUKAKU
            
","

아니 우리 인직이를 여기서 보다니ㅋㅋㅋㅋ
","
    26
  "
16,"

              유태환
            
","

4:00 행보관 떠오르는 룩이다 ptsd온다..
","
    88
  "
