제목,본문,댓글
난 한강사건 초기부터 지금까지 느끼는건 딱 하나야,대체왜,우리나라  터졌을때 문재인 대통령은 뭘 했냐는 소리군원조가 미국아니얔실제로 있긴 했겠지만 저 짤은 드라마인가 예능의 한 장면인 걸로 기억함와미국도저런사람이 존재하는구나저런건 아니고 오바마 케어 반대 하러 시위 나온 사람한테 질문 하니까 오바마 케어가 먼지 모르는 짤은 있었지우리나라  터졌을때 문재인 대통령은 뭘 했냐는 소리군실제롲 김대중때문이라는것들 있었음와미국도저런사람이 존재하는구나원조가 미국아니얔실제로 있긴 했겠지만 저 짤은 드라마인가 예능의 한 장면인 걸로 기억함저런건 아니고 오바마 케어 반대 하러 시위 나온 사람한테 질문 하니까 오바마 케어가 먼지 모르는 짤은 있었지
한강 사건을 보면서 느낀 두 가지,힘드네 어쩌네 그런거 다 엄살처먹고 살만하니까 방구석에서 배 긁으며 지랄 엠병짓 하는거 맞다 기레기 렉카 코난들 모두 말이다이 시국의 안정은 정부와 의료진들이 다 했네 또 한편으로 한국이 힘든 이유는 이런 인식들이 모여 의식을 형성해서 만들어낸거지무슨 말이냐면 가장 중요하고 개선을 촉구해야할 일은 모른척하고 무관심하며 그냥 자기들 분풀이용으로 쓸때나 분노하고넘어갈 뿐이란거헬조선은 결국 우리가 만들어낸 결과물이다,평택 이선호씨 위해서나 저렇게들 하지평택 이선호씨 위해서나 저렇게들 하지
어제자 그알 보고 느낀 점,코로나가  염병이긴 염병이구나코로나로 온 동네 노인정 다 폐쇄 되니까 노친네들 유튜브 붙잡고 이상한 뻘소리만 골라보고 앉았음그게 이번 한강 사건에서 여실히 드러남,저기 시위현장에 대도 엄청 많았음대도 떡같아 노인만 그런게 아님 뿅뿅 짓에 세대가 어딨어벌레새끼가 가장 많은 나이대가 어디더라답나오지대도 떡같아 노인만 그런게 아님 뿅뿅 짓에 세대가 어딨어저기 시위현장에 대도 엄청 많았음일단 그알부터 보고 와뭔 개소리야 그알에서도 대 대 가릴 것 없이시위 나와서 타살이라고 지랄하더만 벌레새끼가 가장 많은 나이대가 어디더라답나오지코로나 풀리면 그거 유투브에서 보고 더 빨리 유언비어 확산됨
그알이 남긴 역사로 남을 짤,,조선일보도 못믿는다더라 탄핵시국에 통수쳤다고 촌의 뒤를 잇는 명작인가 난 한강에서 저러는 인간들  극우들인줄 알았는데 어제 방송 보니 죄다 노친네들 병신들 촌의 뒤를 잇는 명작인가 조선일보도 못믿는다더라 탄핵시국에 통수쳤다고 병신들 짤줍짤줍대단한 짤이 나왔어 진짜난 한강에서 저러는 인간들  극우들인줄 알았는데 어제 방송 보니 죄다 노친네들 은 저새퀴 술마시고 꽐라되서 실족사 했구만이지웃음벨 언믿일믿에이은 유튜브만 믿어아이고 이짤 이후에 최고의 짤이구나 엌정말 명짤 탄생했구먼근데 실제 대들 유트브장난아니게 보더라한번 그쪽으로 보기시작하면 관련된 동영상들이 알아서 올라오잖아스맛폰에 익숙하지못한 분들일수록계속 노출됨
한강 코난들이 ↗됐다고 들었습니다,이제 죗값 받으셔야지 ,내가 봐서는 ↗되지 않았음엿 안됨 오히려 그알이 틀렸다고 코인 더 땡김내가 봐서는 ↗되지 않았음
한강사건은 진짜 검경수사권 조정 되었으니 다행이지,안그랬으면  씨 집안이랑 청와대 행정관 엮고검충이들  씨 집 압수수색 가고 기레기들 집앞에 뻐치기 하고  청와대 턴다고청와대 앞에서 개 지롤 하고또 기레기들 받아쓰기 도배질 하고조국전정관 외압설 나오고  공소장에 대통령이름 수십번 적고 어휴 생각만 해도 끔찍하다,표창장 사모 펀드  김학의출금 월성  울산하명  다 없는죄 만들어서  열씨미 기레기랑 뻠쁘질 햤자녀검찰들이라고 없는 죄 만들수는 없음 어차피 또 같은 결과 나올꺼고그러면 렉카랑 코난은 검찰도 한패라고 검찰개혁 외치겠지검찰들이라고 없는 죄 만들수는 없음 어차피 또 같은 결과 나올꺼고그러면 렉카랑 코난은 검찰도 한패라고 검찰개혁 외치겠지표창장 사모 펀드  김학의출금 월성  울산하명  다 없는죄 만들어서  열씨미 기레기랑 뻠쁘질 햤자녀
한강사건베글에 한강사건 그알 인터뷰 나온거 보는데,맨밑에 씨 가족내가 보기에는 씨 아버님 같이 생김 이랑실명나온 손정민 아버지 랑 인터뷰 내용이 천지 차이네밑에 씨 가족 인터뷰는 자식잃은 아빠마음 에 공감해주는 인터뷰 인데위에 손정민 아빠는 무슨 눈빛이랑 표정부터 뭔가 거들먹 거리는 상환받을껍니다딱 그런느낌의 인터뷰라 소름 돋는다 진짜저건 자식을 키운게 아니라 아바타 만들고 업적작 한 느낌인데애를 리니지 키우는 느낌으로 키운 거 같다무섭다,평택항 산재피해자 아버지표정과 비교하면 답이 나옴사패아닌가 그생각부터 들더라 난손정민 아버지도 문제였지만 눈빛 표정이 문제다 같은 비난은 하지말아야 할거 같아 뭔가 방구석 코난 논리랑 비슷해져가는 느낌이라서평택항 산재피해자 아버지표정과 비교하면 답이 나옴사패아닌가 그생각부터 들더라 난손정민 아버지도 문제였지만 눈빛 표정이 문제다 같은 비난은 하지말아야 할거 같아 뭔가 방구석 코난 논리랑 비슷해져가는 느낌이라서나도 어느 순간 편만 달랐지 그들과 똑같은거 같아 입을 닫았다대부분 부모들이 잠재적으로 다 저래 내 한을 풀어 줄 존재니가 잘 돼야 엄마 아빠 체면이 서는 거야바껴야 할 문화
그알이 비겁한게 언레기는 안 다루더라,언레기 책임은 안 다루고 전부 유튜버로 몰아가는 느낌 유튭레카질 이 패악질이고 사태를 이지경으로 만든것은 사실인데  그렇게 가도록 길 터준게 언레기들이지언레기 들이 지들이 막 뿌려대면 이슈 만들수 있다고 자신하고 있어서언레기들이  앞에서 뿌리고  뒤에서 극우 유튭 일베 그리고 카톡에서 가짜뉴스 돌리는 업자들 이 활동하고이게 다 구조와 설계가 있는 것인데  그알은  그중 제일 중요한언레기의 문제는 외면했다,그알도 본질이 시방새라는거지국제파 관련 자료를 모으던큰별 가 교체당하고 나서 더더욱진짜 노리는건 이거 구실로 유튜버 조지는 밥그릇 싸움거는걸수도 있지실질적으로 언레기들이 선동질만 안했어도 한강 사건이 이렇게까지 커지지도 않았음 몇개월 전 뒷광고 논란 때도 를 위시한 공중파 방송국들은 애꿎은 쯔양 선동질로 쓰레기로 만들고 정작 지들 뒷광고 논란은 묻어버림 그때도 몇몇 유튜버들 날아갔지 공중파종편 방송국들은 피해 안봄그알 손절해서 뭐라 말은 못하겠지만 이걸 빌미로 강력한 경쟁자 제거를 하려는 꼼수같은 느낌본질은 시방새라서 진짜 노리는건 이거 구실로 유튜버 조지는 밥그릇 싸움거는걸수도 있지그알도 본질이 시방새라는거지국제파 관련 자료를 모으던큰별 가 교체당하고 나서 더더욱그알 손절해서 뭐라 말은 못하겠지만 이걸 빌미로 강력한 경쟁자 제거를 하려는 꼼수같은 느낌실질적으로 언레기들이 선동질만 안했어도 한강 사건이 이렇게까지 커지지도 않았음 몇개월 전 뒷광고 논란 때도 를 위시한 공중파 방송국들은 애꿎은 쯔양 선동질로 쓰레기로 만들고 정작 지들 뒷광고 논란은 묻어버림 그때도 몇몇 유튜버들 날아갔지 공중파종편 방송국들은 피해 안봄사망여우가 이때 이상민의샴푸광고 뒷광고를 지적했는데씨방새가 이상민과 합작하고연알시상까지 돌려먹으면서아주 제대로 기만했지본질은 시방새라서 유튜브에 뺐긴 시청자들 빼와야하는데팀킬 할 수는 없겠지 신의한수도 저 한강사건에 여론 만들었지나경원 주호영까지 이 사건에 가장 큰 책임이 있는게 기레기들인데 말이지지네들도 함께 우리가 남이가 하는 언론이다 이거지말 그대로 유어낫얼론이고 유어낫언론임
한강 코난들 됬음 ,로펌에서 고소하기로 함 ,인터넷 글 흔적없이 박제걱정 없이 삭제해 드립니다 광고 달아두면 수익 달달하겟네 이거 아니래아직 로펌에서는 고소계획없다고 했고 코난들한테 빡친 사람들이 자발적으로 보내자고 올린 글이래우선 렉카놈들 먹은거 토했으면우선 렉카놈들 먹은거 토했으면인터넷 글 흔적없이 박제걱정 없이 삭제해 드립니다 광고 달아두면 수익 달달하겟네 이거 아니래아직 로펌에서는 고소계획없다고 했고 코난들한테 빡친 사람들이 자발적으로 보내자고 올린 글이래변호사가 아니라로펌이면기둥 개는 뽑힐꺼야인생을 값지게 보내네 아녀 저거 친구네서 모은다는 게 아니라 저거 시민들이 자발적으로 보내는 거라고 그러던데내가 봐서는 머리 쓰는 녀석들은 교묘하게 명예훼손 될만한거 피해감거기다가 저거 씨가 직접 하는거 아니면 의미 없어 보이는데
한강사건 친구 허위사실유포 자료 수집중,,요즘은 인성도 능력이지 능력주의 신봉자들 많더만 알아서 자연도태되길 기원함그래  보내야지 그동안 받은 상처를 보상받길 바랍니다그래  보내야지 요즘은 인성도 능력이지 능력주의 신봉자들 많더만 알아서 자연도태되길 기원함응 능력주의랑 상관이 있나그동안 받은 상처를 보상받길 바랍니다지들이 불리한거 반박당한건 빼먹고 댓글 쓰더라코인 달달하게 뽑았으니 이제 그 대상한테 인센티브 거하게 지급들 하심 되겠네 이거 걍 사람들이 자발적으로 하는거라 친구 의사는 없대저거 진짜 마즘그냥 사람들이 하는거지 당연히 그 친구랑은 상관 없음
