제목,본문,댓글
모노리서치 김경수  차기 경남지사 지지율 위,재판만 잘 되면 재선 충분히 가능,도정 지지율 프로 정도 나오던데 경남 분위기 생각하면 대단함정말 김경수가 민주당에서 가장 경쟁력 있는 후보인걸 아니까 좋같은 기레기들이 말도 안되는걸로 묶어놓고 있는거지판레기  어림도 없지 일단 이거저거 엄청 따오는건 부인할 수 없는 사실이니국힘 후보가 표면화가 되어야지 의미가 있을듯김경수 여영국 박완수 빼고는 누군지 다 모르겠네도정 지지율 프로 정도 나오던데 경남 분위기 생각하면 대단함일단 이거저거 엄청 따오는건 부인할 수 없는 사실이니판레기  어림도 없지 국힘 후보가 표면화가 되어야지 의미가 있을듯김경수 여영국 박완수 빼고는 누군지 다 모르겠네일단 심 파기환송 나오지않는한 저기  김경수 이름 빠질각임 정말 김경수가 민주당에서 가장 경쟁력 있는 후보인걸 아니까 좋같은 기레기들이 말도 안되는걸로 묶어놓고 있는거지와 민주당으로 경남지사 재선이 가능하다면 이건 기적 아닐까 부울경이 정말 민주당에 회초리 많이 들어주시는 지역인데 그래도 차기 선거에서 등이라면 도민들도 어느 정도 좋게 봐주시는 것 같음차차기는 김경수양명수  제가 나서야겠군요
이낙연 의원님 인스타  커여움 ,마지막 사진  넘 커여우심 ,낙의원님도 탈읍읍청소년에게도 인기가 좋으신거보면 차기 대통령으로 딱이지진짜 막짤 낙의원님도 탈읍읍진짜 막짤 청소년에게도 인기가 좋으신거보면 차기 대통령으로 딱이지
트위터 디시의 멍청이들 낚기 대성공,,저거  공동성명이잖아 결과론적으로 말하면 부뚜막하고 북돼지 노친네가 독재정권 강화하는데 사용됐지만지네 국부 남로당 본색 제대로 드러낸 사건박정희 또 너야배우긴 하는데 문제는 저게 학기 거의 끝무렵이라 생략하는 선생들 많음 좌표지네 국부 남로당 본색 제대로 드러낸 사건요즘엔 저거 안배우나 공시절에만 배운건가배우긴 하는데 문제는 저게 학기 거의 끝무렵이라 생략하는 선생들 많음 나 중학교 졸업한지 년 되는데겁나 중요하게 가르치셨어 남북 공동성명이나 제차 남북정상회담은 정말 중요하게 다루고 무조건 시험 문제 개 나옴이거는 모고에서도 그래문재인 정부 들어 더 중요해짐저거  공동성명이잖아 결과론적으로 말하면 부뚜막하고 북돼지 노친네가 독재정권 강화하는데 사용됐지만좌표 아직도 비추 이네 병신들념글 환장하겠네 일본은 코로나가 사기극이랑걸 이미 눈치채고 백신 안맞추는거라는데박정희 또 너야박정희 답게 이름도  파닥파닥 잘 낚이네작년수능에서 남북 기본합의서가지고 정부 통일정책 어쩌구 씨부리던 내선일보 생각나네 남북 공동성명이잖앜여윽시 남로당 빨갱이 다까기 마사오 그리고 죽어서도 취직을 했지야짤 강등저기 들어가보니까 완전 정신병자집단인데
신동근 우리 민주당이 언제부터 부자들을 위한 정당이었지,,민주당 내부에 카르텔 벌레들이 생각보다 엄청나게 많은듯 이거 수술실  문제나 해결할수 있을지 걱정스러움갠적으로 신동근 의견에 동의하는지라 이번에 민주당 부동산특위 대책 나왔을때 같은 심정이었음걍 닥치고 있었을 뿐이지 뭐 요괴들도 하나만 해라엊그제 송신병진표 듀오 개솔희에도 추천 무수하게 박더니 이글은 왜 빵빛추로 베글에 있는게냐민주당 내부에 카르텔 벌레들이 생각보다 엄청나게 많은듯 이거 수술실  문제나 해결할수 있을지 걱정스러움찢확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 확찢 확확찢 요괴들도 하나만 해라엊그제 송신병진표 듀오 개솔희에도 추천 무수하게 박더니 이글은 왜 빵빛추로 베글에 있는게냐갠적으로 신동근 의견에 동의하는지라 이번에 민주당 부동산특위 대책 나왔을때 같은 심정이었음걍 닥치고 있었을 뿐이지 뭐
윾승민 아직도 조국 찬양하는 민주당 한심하다,네 다음 진짜로 청탁주려다 걸린 찐따,박근혜 가방모찌친구 아들이 당대표 예비경선 위로 통과하니 의기양양그네 명박이 아직도 줄줄 빨더라박비어천가를 부르는 한심한 토왜당승민아 여기 느그 국모박근혜 가방모찌박비어천가를 부르는 한심한 토왜당친구 아들이 당대표 예비경선 위로 통과하니 의기양양친구아들 잘나가니 신났네너네는 왜 그러는데그네 명박이 아직도 줄줄 빨더라본인부터 청탁 사죄하쇼지 애비부터 거슬러 올라가면 꿀리는 새끼가 말이 많네뭐 찬양받은적이 없으니 배알이 꿀리지초선족들이 좋아요 누를만한글이군승민아 여기 느그 국모하 빡치게 합성해놨네청탁 증거도 있는데 수사도 안받아서 떳떳한가보네요즘은 인사청탁 안하시나순실이 있는 줄도 몰랐다고 거짓말하고 코리아 패싱 아십니까   영어 잘한다고 폼 재려다가 헛소리 하고트럼프 떠라이로 몰고거기다가 니 딸은 예금이 수억 아니냐 
국민의힘 이영손정민 수사부진 검경수사권 때문국회 상임위때 짚고 넘어,,일단 너부터얜 또 누구냐뭔 놈의 듣보잡이 일케 많냐네 다음 지가 발의한 법안에 반대 누른 찐따국짐의원들그알이나 보고와라일단 너부터얜 또 누구냐뭔 놈의 듣보잡이 일케 많냐쟤 최고위원 선거 나옴국짐의원들그알이나 보고와라네 다음 지가 발의한 법안에 반대 누른 찐따사고 정리 끝나가는데 뒤늦게 도착해서 경찰차 비키라고 빵빵대는 렉카 얘들 진짜 등신들인가 야 이수정 니네쪽 사람인데 이거보고 사고사라 그랬어결국 저쪽 패거리들이 이걸 푸시한건 저걸 위한 빌드업으로 보임 
또 그 그림체그 손모양머리가,확인하고 왔는데 조작아님 공식임 ,핸드폰을 저렇게 집는 사람이 어디 있어 이건 빼박이다이번에도 암묵적 메갈동의론자 새끼들이 이악물고 억지라고 우길 수 있을것인가 릴벳충하고 하는 짓이 똑같네뭔가 페미손가락논란되는 광고보면 그림체 비슷해보이더라은근슬쩍 무겁고 큰 스마트폰을 한손으로 쥐면서 저런 손모양이 나올려면 억지로 저렇게 그리는수밖에 없겠지핸드폰을 저렇게 집는 사람이 어디 있어 이건 빼박이다이번에도 암묵적 메갈동의론자 새끼들이 이악물고 억지라고 우길 수 있을것인가 그런 양반 있다면 핸드폰 저렇게 집어보라고 시켜봐야지릴벳충하고 하는 짓이 똑같네은근슬쩍 무겁고 큰 스마트폰을 한손으로 쥐면서 저런 손모양이 나올려면 억지로 저렇게 그리는수밖에 없겠지 와 진짜 도 저렇게 못 잡고 굳이 저렇게 잡을 이유가 없음내가 방금 해 봄뭔가 페미손가락논란되는 광고보면 그림체 비슷해보이더라와 진짜 일베랑 똑같구나교묘하게 자기네 표식 집어넣는 거와 어쩜 저러냐와 이건 말도 안 나온다사람 손같지도 않게 생겼네 저쪽으로 엄청 심각하구나이건 뭐 사람 손이 아니네 즈그들도 쫄리는지 앞뒤자른 해외 번역 덧글 가져오면서 여초에다 작업질 치고 난리 치더라  새끼들 처럼 찍이면 즈그들 활동 조옷대는거 아니까  근데 행동을 세끼들처럼 하는데 평가는 인권운동처럼 받기 원하는 건 뭐하는 대가리들인지 몰러디자인때문에 그런거다라고 쉴드치는 사람 오겠네여자 그림체들은 거의 다 뭍은거 같네진짜 정신좀 차려라
홍준표가 올렸다가 삭제한 페북글,왜 삭제했지,친박을 집결해 친이인 윤석렬을 견제하시려는 우리 홍대표니뮤박근혜와 관련 자신의 입장을 노골적으로 드러내는건 곤란하다 싶었나탄핵이라는 고위공무원 징계판단과 형사재판은 별개라는 거 뻔히 아는 뇐네가개소리로 국민현혹하려 수작질이야왜긴왜야 지 표빨고싶어서 그러는거지탄핵관련 발언 때문에 삭제한거 아닐까탄핵관련 발언 때문에 삭제한거 아닐까박근혜와 관련 자신의 입장을 노골적으로 드러내는건 곤란하다 싶었나요약  욕먹을 짓을 했지만 탄핵은 재판관의 무리수다실컷 댓달고 있었는데 글날라가버림아 또 쓰기 귀찮다탄핵이라는 고위공무원 징계판단과 형사재판은 별개라는 거 뻔히 아는 뇐네가개소리로 국민현혹하려 수작질이야그리고 헌법상 대통령 임기중 불소추특권때문에 형사재판을 하고 탄핵할수 없지이거까지 포함해서 개열심히 댓글 작성했는데 날라감불소추특권 고려하면 저딴 논리는 탄핵제도를 별도로 규정한 취지를 무시하고 유명무실화 해버림요 말이 맞겠네 탄핵은 헌법 상 독립기관인 국회에서 재적  이상 찬성해서 가결하는 거고 그에 대한 심판은 헌법재판소에서 하게 되는 거고 사법 절차는 이와 또 별개인거고이미 노무현 대통령 시절에 탄핵을 막 하다가 역풍 맞으면 어떻게 되는지 봤는데 감히 탄핵이란 카드를 국회에서 쉽게 올릴 수도 없지비판은 하지만 홍이 저렇게 나오면 도로 친박당이 되는건 물론이고 윤석렬이 대선에 나온다면 친이는 윤석렬 친박은 국힘으로 나누어질거 같긴하네 퐁듀친박을 집결해 친이인 윤석렬을 견제하시려는 우리 홍대표니뮤왜긴왜야 지 표빨고싶어서 그러는거지간보는거지뭐  저사람 간보다가 입장 이리저리 드리블하는거 잘못봣잖아 그것이 홍크의 매력이라고위법사실이 왜 확인이  안되 대통령의 권한을 일반 민간인한테 넘겼는데 그게 위법이지 헛소리 작작해라국짐의 아니냐항상 저딴식으로 표를 모았지조작 선동 차떼기선거자금뿌리기차대놓고 투표장모셔가기아직도 년대의 관념에서 못벗어난 한결같은 족속들최순실이 그만큼 충격적이었으니까  최순실 스마트폰 하나로 사실상 모든게 정리된 수준이었음 오죽했으면 조중동도 끝났다고 판단하고 바로 손절하고 오히려 선봉에 서서 공격했으니까 
르포 준석이가 당대표 되나요 노원 상계동  말 들어보니,초선도 아닌 선 이준석각종 여론조사서중진들 제쳐이 후보 고향 노원 상계동 청년들 기대감 ↑대 목소리 많이 내준다그것만으로도 고마워 정치 경험 부족민주당만 좋을 일얘가 뭐라고 르포기사까지,노원역 인근 택시 승강장에서 만난 대 남성 택시기사는 자신의 정치성향을 보수라고 밝히면서 이 후보가 대표로 당선되면 더불어민주당에서는 강력한 호재 국민의힘 입장에서는 암울한 시기를 겪을 수 밖에 없다고 지적했다 그는 경선을 위로 통과한 것 보면 본선도 큰 무리는 없을 것 같다면서도 이준석이 대표가 되면 영남 등 보수지역에서 크게 등을 돌릴 수 있다고 우려했다 이어 민주당 입장에서는 흔들리는 야당을 보면서 대선 준비를 할 수 있다고 강조했다이준석을 내세워서 젊은층 표심을 끌 수 있을지없을지는 모르겠지만 장년층 표심은 없어지겠구만이준석을 내세워서 젊은층 표심을 끌 수 있을지없을지는 모르겠지만 장년층 표심은 없어지겠구만노원역 인근 택시 승강장에서 만난 대 남성 택시기사는 자신의 정치성향을 보수라고 밝히면서 이 후보가 대표로 당선되면 더불어민주당에서는 강력한 호재 국민의힘 입장에서는 암울한 시기를 겪을 수 밖에 없다고 지적했다 그는 경선을 위로 통과한 것 보면 본선도 큰 무리는 없을 것 같다면서도 이준석이 대표가 되면 영남 등 보수지역에서 크게 등을 돌릴 수 있다고 우려했다 이어 민주당 입장에서는 흔들리는 야당을 보면서 대선 준비를 할 수 있다고 강조했다리준석이는 우파 유시민 아닌가싸가지 없는 보수대 목소리가 아니라대 여혐목소리겠지 젠더 갈라치기 최대수혜자 아닌가
홍준표 월 일에 백신 접종 하기로 예약,,원래 저러다가 갑자기 노무현 뇌물이니 문재인 빨갱이니 이딴드립 치는 양반임좀 더 안전한 백신 확보단어 선택 한 번 뭣같네역시비밀친구오세훈 원희룡도 접종했는데 국짐 국회의원들 버티면 뭐하겠어 그냥 좇선일보처럼 깜이 안 될 것 같으니 빨리 맞고 백신 논쟁은 끝내겠다는 것 같네그러게 진짜 뭔가 내려왔나 보다원래 저러다가 갑자기 노무현 뇌물이니 문재인 빨갱이니 이딴드립 치는 양반임댓글 왜지움 뻘줌하게죄송죄송    댓글이 지운 다음에 달리더라고 흑흑흑 죄송쩡을 내놓아라먼가 지령이 내려온 느낌그러게 진짜 뭔가 내려왔나 보다역시비밀친구좀 더 안전한 백신 확보단어 선택 한 번 뭣같네은근히 같은 단어 집어넣는게 특기임오세훈 원희룡도 접종했는데 국짐 국회의원들 버티면 뭐하겠어 그냥 좇선일보처럼 깜이 안 될 것 같으니 빨리 맞고 백신 논쟁은 끝내겠다는 것 같네니들은 나중에 맞아라 양심도 없냐 그렇게 백신 안좋다고 까놓고
